thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
1,10000000,10000000,16,1024,9588.647485,104289.995180
1,10000000,10000000,16,16,9535.184193,104874.743870
1,10000000,10000000,16,256,9584.655173,104333.435258
1,10000000,10000000,16,64,9436.851530,105967.546153
10,10000000,10000000,16,1024,60700.484288,16474.333141
10,10000000,10000000,16,16,55741.720603,17939.883972
10,10000000,10000000,16,256,55027.264688,18172.809528
10,10000000,10000000,16,64,56037.893205,17845.067736
15,10000000,10000000,16,1024,85185.753182,11739.052161
15,10000000,10000000,16,16,80439.368897,12431.723591
15,10000000,10000000,16,256,88606.559291,11285.846195
15,10000000,10000000,16,64,78540.694324,12732.253115
20,10000000,10000000,16,1024,90608.811924,11036.454168
20,10000000,10000000,16,16,91201.843167,10964.690683
20,10000000,10000000,16,256,91585.382651,10918.772964
20,10000000,10000000,16,64,91011.224624,10987.655689
25,10000000,10000000,16,1024,107869.064726,9270.498475
25,10000000,10000000,16,16,112957.889087,8852.856654
25,10000000,10000000,16,256,110984.322531,9010.281607
25,10000000,10000000,16,64,110555.578926,9045.224219
30,10000000,10000000,16,1024,124098.825249,8058.094007
30,10000000,10000000,16,16,124803.391758,8012.602750
30,10000000,10000000,16,256,118612.734602,8430.797952
30,10000000,10000000,16,64,126466.691901,7907.220352
5,10000000,10000000,16,1024,30646.299115,32630.367414
5,10000000,10000000,16,16,31542.381581,31703.376533
5,10000000,10000000,16,256,33127.078640,30186.784983
5,10000000,10000000,16,64,30842.368273,32422.931700
