mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,10000000,10000000,16,256,134548.222978,7432.279504
true,12,10000000,10000000,16,256,,
false,16,10000000,10000000,16,256,158451.147835,6311.093442
true,16,10000000,10000000,16,256,131363.616111,7612.457921
false,1,10000000,10000000,16,256,16754.188238,59686.568265
true,1,10000000,10000000,16,256,18453.199601,54191.144172
false,20,10000000,10000000,16,256,183794.364985,5440.863217
true,20,10000000,10000000,16,256,152868.749167,6541.559380
false,24,10000000,10000000,16,256,186132.699203,5372.511140
true,24,10000000,10000000,16,256,191801.307506,5213.728796
false,4,10000000,10000000,16,256,51289.536966,19497.153984
true,4,10000000,10000000,16,256,51627.309599,19369.593492
false,8,10000000,10000000,16,256,124118.719509,8056.802422
true,8,10000000,10000000,16,256,,
