mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,10000000,10000000,16,256,9763.385410,102423.489187
true,1,10000000,10000000,16,256,9678.859178,103317.961506
false,10,10000000,10000000,16,256,61212.448066,16336.546431
true,10,10000000,10000000,16,256,63615.353374,15719.475676
false,12,10000000,10000000,16,256,73158.650672,13668.923508
true,12,10000000,10000000,16,256,71594.070433,13967.637179
false,14,10000000,10000000,16,256,86443.908282,11568.195144
true,14,10000000,10000000,16,256,90285.673046,11075.954426
false,16,10000000,10000000,16,256,96547.993616,10357.543047
true,16,10000000,10000000,16,256,95279.485992,10495.438652
false,18,10000000,10000000,16,256,97938.743014,10210.463901
true,18,10000000,10000000,16,256,92656.402587,10792.562328
false,2,10000000,10000000,16,256,18916.420165,52864.124991
true,2,10000000,10000000,16,256,18990.648010,52657.497494
false,20,10000000,10000000,16,256,110056.789421,9086.218172
true,20,10000000,10000000,16,256,97934.834114,10210.871434
false,22,10000000,10000000,16,256,121629.196037,8221.710186
true,22,10000000,10000000,16,256,107734.916373,9282.041827
false,24,10000000,10000000,16,256,130222.373974,7679.171939
true,24,10000000,10000000,16,256,113361.445263,8821.341309
false,4,10000000,10000000,16,256,34711.954210,28808.519219
true,4,10000000,10000000,16,256,34159.629391,29274.322287
false,6,10000000,10000000,16,256,40338.345053,24790.308048
true,6,10000000,10000000,16,256,36245.378496,27589.724304
false,8,10000000,10000000,16,256,50443.195350,19824.279431
true,8,10000000,10000000,16,256,46228.677694,21631.594280
